sensorId,lat,lon,boxName,boxId,exposure,unit,phenomenon,2018-11-11T23Z,2018-11-12T00Z,2018-11-12T01Z,2018-11-12T02Z,2018-11-12T03Z,2018-11-12T04Z,2018-11-12T05Z,2018-11-12T06Z,2018-11-12T07Z,2018-11-12T08Z,2018-11-12T09Z,2018-11-12T10Z,2018-11-12T11Z,2018-11-12T12Z,2018-11-12T13Z,2018-11-12T14Z,2018-11-12T15Z,2018-11-12T16Z,2018-11-12T17Z,2018-11-12T18Z,2018-11-12T19Z,2018-11-12T20Z,2018-11-12T21Z,2018-11-12T22Z,2018-11-12T23Z,2018-11-13T00Z
56957f3ab3de1fe0052532de,51.95709003,7.640642524,WG Wolbecker Str.,56957f3ab3de1fe0052532da,outdoor,hPa,Luftdruck,1006.37635,1006.431739,1006.94058,1006.722174,1006.529562,1007.108913,1006.73413,1006.684088,1006.916884,1006.404599,1006.066176,1005.821635,1005.876,1005.955401,1006.129348,1006.858406,1007.626957,1008.528029,1009.746739,1010.561232,1011.067445,1011.61529,1011.758478,1011.957737,1012.43942,1012.431667
57000b8745fd40c8196ad050,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,outdoor,hPa,Luftdruck,1006.133333,1006.205,1006.709231,1006.4625,1006.318333,1006.870833,1006.521667,1006.423333,1006.663846,1006.155,1005.785,1005.469167,1005.5425,1005.6475,1005.88,1006.634615,1007.446667,1008.296667,1009.5075,1010.311667,1010.809167,1011.409231,1011.538333,1011.755833,1012.2375,1012.219167
5750220bed08f9680c6b4158,51.95616769,7.651169356,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,outdoor,hPa,Luftdruck,1005.974,1006.045333,1006.515167,1006.2675,1006.120833,1006.677833,1006.303333,1006.218667,1006.471,1005.969333,1005.601667,1005.306667,1005.381167,1005.497667,1005.677333,1006.4415,1007.232333,1008.134667,1009.323667,1010.131333,1010.6275,1011.186833,1011.322167,1011.522833,1011.981667,1011.971833
5852edf116c08e000fd2076b,51.857716,7.490391,K4 Senden,5852edf116c08e000fd20768,outdoor,hPa,Luftdruck,1005.149286,1005.093913,1005.567143,1005.317,1005.192373,1005.72,1005.421143,1005.33186,1005.42697,1004.962353,1004.605556,1004.407407,1004.485517,1004.627931,1004.905556,1005.675862,1006.465862,1007.398868,1008.623818,1009.391724,1009.901207,1010.502778,1010.54,1010.734074,1011.145,1011.014
58932c89d038b000102f7d38,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,outdoor,hPa,Luftdruck,1007.150769,1007.246038,1007.783846,1007.571923,1007.397925,1007.994038,1007.57,1007.506792,1007.7625,1007.272453,1006.918824,1006.701154,1006.807692,1006.899423,1007.15434,1007.724038,1008.529057,1009.431346,1010.6375,1011.411321,1011.952885,1012.454528,1012.534808,1012.752692,1013.216415,1013.198077
593bcd656ccf3b0011791f5d,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,outdoor,hPa,Luftdruck,1006.143111,1006.182712,1006.662712,1006.452667,1006.269,1006.8745,1006.468136,1006.405741,1006.6345,1006.111346,1005.777778,1005.487045,1005.592881,1005.704912,1005.924792,1006.630556,1007.4025,1008.366667,1009.473774,1010.374231,1010.869455,1011.359667,1011.588182,0,0,0
599449ce7e280a00106ee97b,51.900733,7.42708,WL42home,599449ce7e280a00106ee978,outdoor,hPa,Luftdruck,1006.625,1006.722857,1007.094286,1006.872439,1006.743902,1007.247619,1006.862857,1006.842619,1007.046829,1006.584286,1006.251707,1006.150476,1006.165238,1006.319024,1006.60881,1007.264634,1008.091429,1008.991667,1010.185366,1010.96122,1011.526667,1012.06381,1012.107619,1012.266098,1012.780714,1012.762439
59c67b5ed67eb50011666dbe,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,outdoor,hPa,Luftdruck,1005.716667,1005.761607,1006.221333,1005.986271,1005.87,1006.376,1006.016889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59dcdbb400190a00115d2179,51.958065,7.619512,Grünspar,59dcdbb400190a00115d2174,outdoor,hPa,Luftdruck,1007.215667,1007.287333,1007.720667,1007.4525,1007.277833,1007.861667,1007.454333,1007.4125,1007.643333,1007.1385,1006.799828,1006.542667,1006.629667,1006.750667,1006.9495,1007.687167,1008.506333,1009.409333,1010.599833,1011.404167,1011.929833,1012.4555,1012.529,1012.741833,1013.241379,1013.162333
5a0c15289fd3c200110f3d38,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,outdoor,hPa,Luftdruck,1006.878333,1006.930667,1007.414667,1007.2125,1007.054667,1007.609833,1007.223167,1007.1415,1007.388333,1006.881333,1006.512,1006.263667,1006.3505,1006.4695,1006.633,1007.359833,1008.138833,1009.070167,1010.288667,1011.094667,1011.589667,1012.150167,1012.254333,1012.443167,1012.910167,1012.902333
